Gene ID,log2FC,p-value,Significant
LOC101928092,-0.111040987,0.305658985,No
PSMB2,-0.098140505,0.305864376,No
TM2D3,-0.128873654,0.306040803,No
TAFA2,-0.104159588,0.306166209,No
DIP2B,-0.131032104,0.306234518,No
MRPS10,0.115363865,0.30629814,No
TJP1,0.132709741,0.306407,No
CPB2-AS1,0.125532097,0.306493678,No
LOC105371795,0.130346155,0.306536688,No
PCDH12,-0.131660029,0.306555019,No
MALINC1,0.132854295,0.30658559,No
TRIM71,0.13193987,0.306740523,No
TMEM102,0.117913294,0.307017861,No
ADAMTSL5,-0.111968224,0.307109488,No
MAGEH1,-0.12391485,0.307151626,No
IL11RA,0.12301799,0.307296729,No
CYCS,-0.081534032,0.307336093,No
TNS2-AS1,0.121008095,0.307477294,No
MIR1244-1,0.123834824,0.307508299,No
CRLS1,0.109582379,0.307572373,No
TAFA5,0.122066555,0.307596569,No
CHAMP1,-0.123789419,0.307845631,No
ZNF443,0.130980381,0.307851266,No
SH3PXD2A,-0.130490218,0.307868514,No
FCF1P2,0.13082868,0.307929606,No
ZNF250,0.103700022,0.307973606,No
IPO9-AS1,-0.129502406,0.307981276,No
SARNP,0.101151926,0.308044257,No
COPB2,0.096244409,0.308105035,No
ZSCAN22,0.130205583,0.308122181,No
CMTM4,-0.108822667,0.308127918,No
PCDH8,-0.10196154,0.308189558,No
CHMP2B,-0.118440718,0.308276038,No
ZEB2-AS1,-0.127507869,0.308433846,No
INPP5D,0.108655634,0.308503967,No
ZDHHC8BP,0.130071296,0.30857902,No
ITGA1,0.127048064,0.308735914,No
IRF2BPL,0.114572311,0.308736873,No
RNASEH1-DT,-0.124408867,0.308761832,No
ATG4D,-0.125561681,0.308886753,No
INSYN1,-0.108820854,0.308950821,No
DIDO1,0.084011718,0.308974241,No
FRMD3,-0.112052479,0.309004158,No
SLC4A4,0.104107365,0.309067213,No
LINC00467,0.122425628,0.309118996,No
KLHL5,0.130399907,0.309139223,No
EID2,-0.131732128,0.309180555,No
DLG2,-0.129615035,0.309277375,No
IFI27L2,0.1283768,0.309425484,No
AUP1,0.11540452,0.309463461,No
CDC42EP4,0.109837317,0.309485676,No
MYDGF,0.114500227,0.309525534,No
ERCC4,0.10544452,0.309595409,No
EXOC2,-0.115333245,0.309726586,No
CUL1,-0.127847971,0.309806404,No
SUN2,-0.129552531,0.309929049,No
CHROMR,-0.108979967,0.3100374,No
TCTN2,0.123158383,0.310052846,No
SPIRE1,-0.102215241,0.310087565,No
LOC105378721,-0.121584649,0.310147412,No
ALDOA,0.123555089,0.31016737,No
C1orf115,-0.130161498,0.310181917,No
TRAFD1,0.120365321,0.310370545,No
KIF5A,0.121379258,0.310376444,No
KBTBD6,-0.123882188,0.31042571,No
BLOC1S5-TXNDC5,0.091313707,0.310428581,No
ZNF767P,-0.123994703,0.310444909,No
LINC02716,0.119789283,0.310741095,No
SHC2,-0.126285958,0.310898891,No
FBH1,-0.104524844,0.310954912,No
SDHAF1,-0.120929309,0.311282785,No
EMC1,-0.123630313,0.311289161,No
YEATS4,-0.125642651,0.311440728,No
ANKAR,0.129359178,0.311461662,No
TMPRSS9,-0.125906122,0.311467913,No
AKR7L,-0.129294651,0.311474437,No
STRADB,0.131162883,0.311505444,No
ADCY5,0.101648165,0.311640357,No
EGLN1,0.107256193,0.311847771,No
ARHGAP17,0.130427257,0.312019815,No
CEP20,-0.107795827,0.312186501,No
ROS1,-0.09525164,0.312246964,No
ZNF320,0.114131637,0.312285443,No
WDR44,-0.126196226,0.312450527,No
NT5DC3,-0.129667529,0.312459527,No
GALT,-0.104669069,0.312539512,No
GTF2H3,-0.112036479,0.312552149,No
NADK2,0.129536847,0.31261969,No
ZSCAN2,0.119016881,0.312731811,No
TEX261,0.128768467,0.312818709,No
COX6C,0.120401671,0.31289187,No
SYT3,-0.113230224,0.312924503,No
CTSL,0.103186839,0.312980481,No
FOXJ2,-0.10818518,0.313094422,No
DROSHA,-0.128606789,0.313269052,No
CMTM3,0.118056658,0.313310189,No
RARB,-0.130157876,0.313376943,No
TAPT1,0.096768473,0.313511791,No
CRABP1,0.127026464,0.313530711,No
PLIN5,0.102365312,0.313683372,No
OBSCN,-0.129485929,0.313692585,No
POLR3H,0.128440449,0.313736991,No
CLEC2L,-0.128135026,0.313785123,No
FEZ1,-0.109967416,0.313939956,No
PIAS3,0.102234372,0.314051666,No
APIP,0.127026606,0.314070924,No
TMED8,-0.12616334,0.314103173,No
PARGP1,-0.126957123,0.314109656,No
GAD2,-0.10375206,0.314246872,No
MTURN,0.124689635,0.31431149,No
FRMD6,-0.126308032,0.314330145,No
ELAC1,0.118702034,0.314338761,No
GIMAP1,0.126848088,0.314480091,No
CNRIP1,-0.107956716,0.314514348,No
ARHGEF39,0.132821594,0.314538365,No
AKR1B1,0.083722191,0.314660767,No
R3HCC1,-0.119226253,0.314715363,No
WHAMMP3,-0.128769953,0.314730746,No
PSMD8,-0.109197223,0.314737654,No
MED31,-0.106162,0.314903526,No
RIC8B,-0.118509438,0.314932283,No
SLC9A3R1-AS1,0.117683032,0.314943807,No
DDX20,-0.122247417,0.314948696,No
ATE1,-0.127289178,0.315149,No
AGGF1,-0.119564974,0.315186474,No
NPHP4,-0.116381924,0.315246084,No
MRPS36,0.102181114,0.3152905,No
FAR2P1,-0.128226031,0.315294738,No
HACD2,-0.112714523,0.315314072,No
NDUFA8,0.10508962,0.315354065,No
USP9X,-0.124659306,0.315388812,No
APOBR,0.115249404,0.315395287,No
SMN2,0.115579045,0.315413758,No
NDUFV3,-0.115066299,0.315423371,No
LOC112268021,-0.126682449,0.315452264,No
CPLX1,-0.124547724,0.315705812,No
RAB12,-0.11763927,0.315711099,No
CEP76,-0.115066384,0.315731007,No
XPNPEP1,-0.118677593,0.31578302,No
TAFAZZIN,-0.121512073,0.315822426,No
LOC107987251,0.126460703,0.315855452,No
COA8,0.123484246,0.316035133,No
OSGIN2,0.093858563,0.316061258,No
CLDND2,-0.115601955,0.31611941,No
IPO8,0.096245531,0.316163621,No
C17orf113,0.129499998,0.316167197,No
RSU1,0.120271535,0.316202025,No
PMPCB,-0.126010674,0.316214267,No
DACT2,0.122232036,0.316371773,No
CSPG5,-0.127657276,0.316372263,No
HSFX1,-0.127494468,0.316519172,No
OTUD5,0.093718,0.316535915,No
FMN2,0.10244115,0.316652876,No
PRKRIP1,-0.122144521,0.316909946,No
TIAM1,-0.128626422,0.31695292,No
KAT2A,-0.128547794,0.317158414,No
LOC105372432,0.119651307,0.317159043,No
ARAP3,0.128777609,0.317229826,No
RPTOR,-0.086851881,0.317368225,No
TPD52,-0.124301454,0.317387078,No
TAOK3,0.113405914,0.31746555,No
MIR6848,-0.126426628,0.317513399,No
GOLGA1,-0.094051489,0.317722898,No
GIN1,0.114413243,0.317804009,No
PPP1R10,-0.111708061,0.317910315,No
ABCA8,-0.092172002,0.318017293,No
ARMCX5-GPRASP2,-0.127628966,0.318029929,No
HRK,-0.124296437,0.318300668,No
EIF4E3,-0.128647022,0.318307321,No
NFKBIE,-0.12249974,0.318375377,No
SLC35F1,-0.119331297,0.318433253,No
ZNF485,-0.127631711,0.318450529,No
SHD,0.10738061,0.318567576,No
ERAP1,0.095246973,0.318611454,No
SMARCC1,0.124345543,0.318685745,No
LOC105371730,-0.12753411,0.318886616,No
CLTB,0.097021061,0.319153712,No
ZC3H14,-0.109260978,0.319244913,No
MTRNR2L1,0.126337475,0.319337859,No
PRDM8,-0.123482858,0.319392726,No
CLCA4-AS1,-0.123935268,0.319527825,No
LOC101926887,-0.119377239,0.319629266,No
POU3F1,-0.105099549,0.319789706,No
CLK3,0.125625203,0.31988743,No
CUL3,-0.111709637,0.31988995,No
MATN2,0.126704936,0.319895098,No
SLC15A3,0.126870319,0.319899127,No
GET4,-0.099476089,0.320126809,No
AUNIP,0.115277642,0.320186242,No
MIR5572,-0.121533268,0.320258457,No
ENOX2,-0.12437347,0.32040624,No
NOLC1,-0.127060845,0.320557373,No
CCDC107,0.126932309,0.320788715,No
GEMIN6,0.10191209,0.320864584,No
MINCR,0.105772269,0.321086769,No
NDUFB2-AS1,0.112114352,0.321309367,No
ST3GAL4,-0.119474393,0.321345608,No
ABLIM3,-0.095033029,0.32142428,No
LOC100129034,0.128571761,0.321474257,No
PGAP1,-0.126316563,0.321510255,No
DPP9,0.122183834,0.3215314,No
PIGK,-0.115852324,0.321584512,No
TOB1-AS1,0.125345049,0.321637904,No
RPS19BP1,0.127806757,0.321675019,No
CIT,-0.126363927,0.321734102,No
PPP1R9B,0.115578548,0.32180387,No
ATP8B1,-0.121887664,0.321867798,No
ROR2,0.116519004,0.321953505,No
DNAJB9,-0.095801398,0.32199478,No
LOC101928705,-0.119599144,0.322045772,No
RAB1B,0.098484419,0.322200272,No
GPS1,-0.089121974,0.322280105,No
TARS2,0.08569488,0.32229158,No
ANKRD11,-0.116246543,0.322699448,No
BEX1,-0.126055213,0.32271894,No
DIS3L,-0.096782726,0.322815821,No
TMEM97,0.110036408,0.323044411,No
FAM8A1,-0.113187629,0.323204473,No
SAXO1,-0.127519947,0.32323886,No
ZNF286B,-0.107948071,0.323245897,No
SLC16A6,-0.102968718,0.323269527,No
PNCK,-0.128455339,0.323328664,No
INTS15,0.111681151,0.323417783,No
MAN1A1,-0.104686016,0.323423825,No
ZNF529,0.089074093,0.32343865,No
WNK1,0.127309541,0.323464884,No
MINK1,-0.123027557,0.323529624,No
RGS3,0.122201069,0.323536184,No
ZNF417,-0.125497868,0.323556855,No
NID1,0.111977318,0.323563802,No
LOC105369669,-0.092453888,0.323663353,No
RELB,-0.119018701,0.323775273,No
PDSS1,0.122702991,0.323806063,No
PHACTR2,-0.127181231,0.323914863,No
ATOSB,-0.125311875,0.324087148,No
ZNF331,-0.114502398,0.324208098,No
NDUFAF3,0.118821721,0.324234248,No
CTXND1,-0.121693117,0.324284597,No
RARRES2,0.117353181,0.3243722,No
ZMAT2,-0.121903684,0.324392511,No
LOC101927572,-0.123736237,0.324421518,No
EDA,-0.12624328,0.324507043,No
XRCC4,0.112156037,0.324610425,No
CCKBR,-0.126743983,0.324739228,No
ELOA-AS1,0.102523258,0.324834505,No
BTBD6,0.115756479,0.324982574,No
TMEM170A,0.125142589,0.325336802,No
ATP5IF1,0.09729598,0.3253498,No
LOC105379382,0.099143207,0.325371313,No
ZFP69,0.121514306,0.325509038,No
CLIP2,-0.091203775,0.325569826,No
LOC112694756,0.119175086,0.325649409,No
TDGF1,0.093773907,0.326005804,No
EPHB1,-0.126043631,0.326070414,No
HAUS5,0.125736068,0.326146301,No
YIPF1,0.126930808,0.326258824,No
INCA1,-0.123015507,0.326576618,No
PPIP5K1,-0.124884822,0.326615842,No
MYO15B,-0.100559539,0.32669955,No
LINC00839,-0.113700869,0.326793112,No
NAB2,-0.107613659,0.327057228,No
MTHFD1,0.114561044,0.327130348,No
LIX1L,0.121092666,0.327206998,No
ZNF436-AS1,-0.114767056,0.327249192,No
MIR1184-3,-0.122502218,0.327343231,No
NAPB,-0.106477641,0.327413734,No
METTL5,0.107881601,0.327471163,No
PTER,-0.125761544,0.3275852,No
TOX2,-0.123924319,0.327640931,No
MUL1,-0.102525456,0.327645797,No
FBXL22,0.125911573,0.327649214,No
CUEDC1,-0.122683122,0.327693457,No
LOC107985414,-0.116572399,0.32769812,No
KITLG,-0.110756618,0.327728527,No
NIF3L1,-0.121614068,0.32773975,No
ZNF710,-0.125929754,0.327761288,No
RAB2A,-0.108610175,0.327920086,No
CAMK2N1,-0.131547941,0.328001154,No
HLA-DOA,0.111040752,0.328115838,No
LOC101928274,0.119134561,0.328128174,No
GSTO2,-0.125054692,0.328129449,No
TMEM273,-0.100439618,0.328133503,No
TCOF1,-0.11688498,0.328163168,No
SLC9A3,-0.108107306,0.328284293,No
ASB14,-0.124131358,0.328287842,No
RTTN,0.125520215,0.328329135,No
SCHIP1,-0.10924888,0.328524275,No
KLHL32,-0.125594507,0.32858956,No
GMPPA,0.114870119,0.328645551,No
KRTCAP3,-0.124472457,0.328743575,No
CSGALNACT1,0.126713429,0.328972353,No
SEMA3B,-0.090462097,0.329014177,No
UQCRHL,0.112136566,0.329018012,No
LINC00632,0.118564935,0.329126822,No
HPF1,0.086460212,0.329193739,No
RGS14,-0.125358307,0.329246553,No
KCNA3,-0.105944323,0.329387611,No
TUBA8,0.125540065,0.329589141,No
SGSH,0.123350876,0.329728359,No
PARD6B,0.123888877,0.329740939,No
ENDOV,-0.120577318,0.329773466,No
ENY2,-0.112126094,0.329818626,No
EOGT,-0.121376436,0.33008624,No
JAM2,-0.121557827,0.330121499,No
UTP25,-0.120711064,0.330135293,No
CBR1,0.118617215,0.330157685,No
PRPSAP1,-0.103882793,0.330241639,No
CD34,-0.116668325,0.330323464,No
LOC105377644,0.124657643,0.330329783,No
TNFSF9,0.119900384,0.330352688,No
NLGN3,-0.122409224,0.330353845,No
CARD6,0.113499789,0.330414657,No
ERICH3,-0.109941489,0.330425912,No
ZNF559,-0.115950865,0.330436854,No
INAFM1,0.120989734,0.330443911,No
NT5M,-0.123511871,0.330461815,No
PDZD2,-0.123755552,0.330546843,No
LINC00515,0.123861931,0.330604707,No
PALM,0.122462111,0.330669201,No
SRPK3,-0.112575682,0.330669867,No
ANKRD54,-0.107575674,0.330783889,No
FOCAD,-0.124881979,0.330801701,No
ZNF813,0.123888233,0.330821031,No
SCN7A,-0.109460797,0.330841891,No
KLHDC8A,0.125168776,0.33085518,No
PLCD3,0.118686422,0.330926725,No
CSRNP2,-0.120352322,0.33113196,No
SOX4,-0.124185622,0.331152796,No
C1orf74,-0.124090577,0.331153709,No
CAMSAP2,-0.122383507,0.33124902,No
PDXP-DT,-0.119907164,0.331420746,No
SMAD6,0.100850077,0.331571627,No
CEP57L1,-0.123452382,0.331589697,No
ZNG1E,0.101511354,0.331663399,No
PPP2R3C,-0.088382866,0.331695204,No
LOXL1,-0.094348484,0.331749765,No
BOLA2B,0.123626875,0.331788549,No
LTBP2,0.11681358,0.331820197,No
MAP3K4,-0.124858567,0.331886289,No
TNNT2,0.096132517,0.331900535,No
ZNF454,-0.120503961,0.332043587,No
MCM3AP,-0.095079348,0.332108266,No
ELOC,0.095448245,0.332169506,No
MAP3K15,-0.102731267,0.33225039,No
ZNF264,0.109051396,0.332262941,No
LOC105378862,0.124864336,0.332315038,No
PFN2,-0.128982562,0.332450877,No
ZBTB8OS,-0.106967606,0.332511332,No
ITGA2B,0.118096229,0.332576635,No
HMGCLL1,-0.118424848,0.332618317,No
NPPC,-0.116642181,0.332738292,No
CYP2B7P,0.115481381,0.332757936,No
KDM7A,-0.121446643,0.33287373,No
USP5,-0.114317918,0.332891682,No
PRKAB2,0.12054228,0.332952676,No
LOC100289580,-0.113455912,0.33298742,No
SLC12A7,0.107636841,0.333107367,No
UBE2G1,-0.082282752,0.33318448,No
TSTD1,0.123789084,0.333357056,No
ZNF415,0.106613591,0.333440358,No
PODXL,0.12367811,0.333796902,No
ZNF343,-0.111954741,0.333855423,No
CACHD1,0.124343693,0.333924776,No
TECR,0.125397753,0.333936151,No
ASH1L,-0.122910173,0.33397424,No
COCH,-0.115115257,0.333982439,No
CCDC85C,0.119018133,0.334192707,No
PIANP,-0.105859532,0.334225854,No
SYT6,-0.123524988,0.334486577,No
MRPS30,-0.123611311,0.3345289,No
ALG1,-0.110418704,0.334819272,No
C19orf81,0.109671435,0.334923879,No
PNMA5,-0.09914315,0.334926954,No
ELL2,-0.122802879,0.335060794,No
RALBP1,0.088824363,0.335084489,No
TTC23L-AS1,0.122924716,0.335138291,No
CSTF2,0.098915422,0.335411877,No
UBE2Q2P2,0.098438412,0.335669265,No
NOC4L,-0.115765682,0.335773979,No
TRIM7,0.1229566,0.335777191,No
MRPS2,0.115331562,0.335831129,No
GPC2,-0.101965978,0.33591183,No
DENND1A,0.095890958,0.336037202,No
UGCG,-0.121976481,0.336043407,No
LRRC7-AS1,0.122537963,0.33605729,No
CDK7,-0.108168461,0.336066792,No
KLHL29,-0.122627288,0.336131501,No
LYRM7,-0.094869541,0.336429108,No
VMO1,0.113632662,0.33646283,No
ZNF699,-0.116443777,0.336842416,No
S100A16,0.10100559,0.336914398,No
WSB1,-0.107234104,0.336994163,No
KAT7,-0.117692434,0.337008377,No
SCAND3,-0.105032212,0.337008708,No
ST6GALNAC1,0.110758269,0.337081076,No
LOC100996720,0.12247393,0.337269844,No
LOC107985875,0.115764477,0.337298471,No
RRP1B,-0.090909027,0.337350779,No
TNRC18,-0.10688287,0.33741562,No
ABCA1,0.117478996,0.337416939,No
SIM2,0.115487418,0.337733454,No
WTAP,0.081978386,0.337794975,No
ZDHHC22,-0.120053047,0.337926506,No
EPB41L4B,-0.114226979,0.338040444,No
TBCB,0.113228098,0.338102088,No
XPO1,0.114480835,0.338186067,No
DDX54,-0.100967848,0.33826454,No
NWD1,0.096415399,0.338264587,No
AGPAT1,-0.106907995,0.338411025,No
MARCHF5,0.064792684,0.33845595,No
LYSMD2,-0.102829756,0.338488449,No
SLBP,0.116459488,0.33867271,No
CCDC61,-0.12152867,0.338712671,No
ZNF710-AS1,-0.116527119,0.33875233,No
NUMB,0.103078478,0.338871244,No
SHMT2,0.601444109,0.338880747,No
LINC00663,0.121657358,0.338885656,No
PIGN,0.114986968,0.338885784,No
ZNF32-AS1,0.120217292,0.338943153,No
SERPINE3,-0.101239669,0.33896773,No
CHST8,-0.114962608,0.339197985,No
LRRC14,-0.080372962,0.339205712,No
PYGO2,0.094404426,0.339208294,No
HSDL1,-0.122358171,0.339253499,No
OCEL1,-0.11045859,0.339290528,No
SLC39A14,0.115081077,0.339361782,No
PAXIP1-DT,0.122578015,0.339441062,No
CHMP1B,-0.107297701,0.339443544,No
SNX8,0.112570201,0.339447905,No
ATG13,-0.095895927,0.339505907,No
EBAG9,0.082959241,0.339515835,No
C8orf58,0.121464747,0.339598278,No
SELENOT,-0.082587956,0.339637551,No
NUDT3,-0.082576702,0.339793817,No
ZNF93,0.122656873,0.339817395,No
FOXP3,-0.115811821,0.340077199,No
TSNAXIP1,-0.121721171,0.340124535,No
DOCK2,0.092012417,0.340132605,No
CCDC183,0.118987823,0.340205195,No
TAF15,0.071612718,0.340423879,No
NAP1L5,-0.122081442,0.340440079,No
ZNF311,0.112562183,0.340489458,No
NHERF1,0.096684251,0.340557932,No
ACACB,0.106886099,0.340632624,No
ME3,-0.121773234,0.340660518,No
DGCR6,0.121297161,0.34069893,No
ABL2,-0.123382281,0.340718793,No
C2CD2,0.117603382,0.34072134,No
FBXL13,-0.122376304,0.340724663,No
LOC101926969,-0.089130643,0.340742156,No
LOC112267985,0.121359722,0.340765027,No
PDCL3,0.110150365,0.340803709,No
SRSF7,0.110431641,0.340823598,No
ZBED5,0.089572564,0.34087702,No
SUPT6H,0.086007371,0.340914953,No
TMEM209,0.114201627,0.341178391,No
LOC101927692,0.107356156,0.341195437,No
PLCB2,-0.119066991,0.34120263,No
AMMECR1L,-0.086551674,0.341556615,No
NAT16,0.11709741,0.341638731,No
FAM117B,0.102480391,0.341713201,No
FAM174C,0.120284589,0.341745192,No
CUTA,0.102744948,0.341812933,No
SEC1P,-0.117261752,0.341836933,No
RASSF2,-0.105848452,0.341865678,No
RNASEH1,-0.120987793,0.34186777,No
RNASE6,0.088860935,0.341877271,No
PI4KB,0.077849723,0.341965474,No
MIR6800,0.121113329,0.342100149,No
BBLN,-0.123947726,0.342236059,No
SINHCAF,0.108877852,0.342245551,No
C5orf24,-0.118057271,0.342298452,No
RETREG2,-0.107399773,0.342349274,No
ZNF607,-0.113070188,0.342368904,No
KIF6,0.121219988,0.342458771,No
ACVR2B-AS1,-0.107845892,0.342487284,No
WDR86,-0.101859503,0.342732476,No
TMEM104,0.118600119,0.342740849,No
COL27A1,0.086678574,0.342914694,No
ALKBH8,-0.118861971,0.34296229,No
DLAT,-0.118878572,0.343025202,No
PKIA,0.121624518,0.34306267,No
LINC01963,-0.121162301,0.343106003,No
MCM9,-0.112059288,0.343164928,No
RER1,0.105707924,0.343396955,No
SMKR1,-0.119488401,0.343441771,No
CLEC16A,-0.116867288,0.343782854,No
AASDHPPT,-0.119574863,0.343907425,No
STAG3L5P-PVRIG2P-PILRB,0.104124372,0.344064358,No
KLC2,-0.11216429,0.34419342,No
DUXAP9,-0.098543614,0.344214237,No
ASAH2B,-0.120803935,0.344457507,No
NUBP1,0.120535671,0.344461733,No
LINC01852,-0.113617533,0.344571343,No
ZNF773,-0.116516556,0.344602161,No
NDUFS4,0.098731497,0.344690817,No
COMMD8,0.099216752,0.344892343,No
TARBP2,0.116585359,0.345057029,No
TMEM9,0.101719348,0.345205051,No
PRIMA1,-0.079453867,0.345349252,No
CHCHD5,0.118235632,0.345458328,No
ASIC4,-0.117905972,0.34548982,No
RFESD,0.118762339,0.345531423,No
CDH22,-0.105747818,0.345606333,No
LOC107985304,-0.105871495,0.345669274,No
PRR5-ARHGAP8,0.114241869,0.345679368,No
KIAA1328,-0.102734936,0.345706281,No
GAK,-0.07751378,0.345796696,No
NT5DC2,0.116137726,0.345866613,No
EFCAB11,0.116312162,0.34589431,No
BOLA3-DT,-0.113736622,0.345947793,No
RBP7,-0.080784821,0.346185959,No
GRINA,0.080221678,0.346231775,No
MCEE,0.120584257,0.346418173,No
ZNF337-AS1,0.119841159,0.346422729,No
MID2,0.117362738,0.346587064,No
IER3,0.105246418,0.346648326,No
SMC4,0.112979244,0.346753565,No
PHC3,0.105101715,0.346859647,No
KIF20B,-0.11191833,0.346870546,No
C8orf82,0.114622912,0.3469931,No
AMPH,-0.10628537,0.347011121,No
NDUFA2,0.106949747,0.3471388,No
CCDC136,-0.119198691,0.34719197,No
GLS2,-0.11626861,0.347297845,No
GALNT2,0.106011017,0.347325429,No
FKBP9,-0.117564804,0.347427852,No
AMER1,-0.119375967,0.347508927,No
ANKRD63,-0.096068472,0.347569768,No
MGST3,0.100990392,0.347617589,No
SDC3,-0.115429853,0.347620641,No
ANKRD36BP1,0.11176162,0.347634483,No
RHBDF1,0.110077903,0.347693814,No
LINC02244,0.11126339,0.347897558,No
ZNF837,-0.107312566,0.347931263,No
TMEM184A,-0.108367487,0.347950796,No
LIPC,0.093282011,0.348009522,No
TEFM,0.113853816,0.348105937,No
MTERF3,0.092546679,0.348169786,No
STAG3,-0.120535805,0.348231928,No
CTU1,0.118916833,0.348451082,No
MIR1244-2,0.110938361,0.348485477,No
SLC15A4,0.111980488,0.348549285,No
RANBP1,0.085075959,0.34856528,No
INIP,-0.113081708,0.348621086,No
ZBTB1,-0.104374259,0.34866689,No
RAB7B,-0.118511143,0.34870372,No
EFNA1,0.105723334,0.348887185,No
VWA3A,0.090927524,0.349062711,No
ZNF593,-0.118328441,0.349196988,No
SMG8,-0.090699494,0.349305233,No
EDRF1,-0.117049087,0.349336785,No
AAR2,0.110913493,0.349513818,No
HMG20A,-0.116913023,0.349531729,No
OTULINL,-0.118291247,0.34956491,No
MAP4K5,-0.117484149,0.349615539,No
FAM86B1,0.116893992,0.349680051,No
DYNLT5,0.11892721,0.349682739,No
CNTNAP3P2,0.118492147,0.34968601,No
HES6,0.099637947,0.349928775,No
BRD8,-0.097262701,0.350033288,No
MRPL43,0.112578223,0.35004594,No
BBS5,-0.088516448,0.350197652,No
LOC101929767,-0.118947826,0.350312209,No
LOC107987072,0.11926042,0.350498462,No
RAB11FIP1,-0.119492379,0.350622045,No
DGKG,0.119698485,0.350755372,No
DNAJC7,0.082247297,0.350818105,No
CTBP1,0.074954495,0.350854937,No
TDH-AS1,0.106193218,0.351171795,No
MAPKAPK5-AS1,-0.079137816,0.351225756,No
TRMO,0.089607722,0.351315252,No
CLCN6,-0.097604981,0.351415426,No
MRPS7,0.098005965,0.351516904,No
CDH19,-0.085492919,0.351527259,No
LOC105372795,-0.117665633,0.351570529,No
IER3IP1,0.069180029,0.351627425,No
VPS16,-0.105272689,0.351711304,No
FAM199X,0.096220977,0.351747687,No
NCSTN,-0.087743411,0.351951299,No
HYI,0.118454394,0.35201698,No
SLC35B1,-0.098374408,0.35207787,No
MYORG,0.091769114,0.35214646,No
UBXN11,0.10950576,0.352154884,No
ZNF658,-0.118455941,0.352200526,No
GUCY2D,-0.112604884,0.352223831,No
MSL3,-0.094274133,0.352288257,No
PDK1,-0.112335335,0.352503107,No
SMDT1,0.116475522,0.352504882,No
CINP,0.117171439,0.35263501,No
ETFA,0.118151902,0.352878876,No
RBM4B,0.117687598,0.352983395,No
WNT3,0.118959557,0.35308258,No
DCTN2,-0.108566192,0.353204943,No
PLCG2,0.112576193,0.35326065,No
APAF1,-0.118466084,0.353292256,No
CNTN1,-0.125162497,0.353335772,No
CNOT8,0.070499516,0.353430074,No
LOC105371622,-0.113631921,0.353437985,No
ZNF208,-0.114712305,0.35347797,No
DDA1,-0.098913926,0.353505874,No
ANKRD16,-0.105137445,0.353545733,No
ZFPM2,0.113186528,0.353575865,No
CSNK1D,-0.096788905,0.353888981,No
P2RY13,-0.084333633,0.353998716,No
ILF3-DT,0.116041497,0.354137521,No
ANKRD46,-0.11766325,0.354188561,No
SREBF2-AS1,-0.117758495,0.354287401,No
FBXL6,0.113622599,0.354378235,No
LINC01004,0.073998852,0.354433106,No
MOCS2-DT,0.110726696,0.354505948,No
SLC30A6,-0.107213546,0.354648045,No
ZSCAN25,-0.110546895,0.354679917,No
CRIP1,0.114623636,0.354756232,No
PTGR1,0.118056314,0.354780754,No
USP6NL,-0.074421031,0.354799001,No
POLA2,-0.111771682,0.354880079,No
MORN3,-0.11721127,0.35489174,No
ZNF697,-0.109202558,0.354967814,No
LOC107984658,0.11821935,0.355033059,No
MYPOP,-0.090959267,0.355045113,No
MRPS17,-0.095946418,0.355092981,No
EBLN3P,-0.115226164,0.355127521,No
DNAJC17,-0.094430625,0.355164448,No
RASAL3,0.082759399,0.355249217,No
FANCI,-0.105652137,0.355273276,No
ZSCAN16,0.114485723,0.355317737,No
TMEM18,-0.109974834,0.355351734,No
ZNF566-AS1,-0.11534174,0.355366642,No
UFM1,-0.090266183,0.355371647,No
MTIF2,0.081008352,0.355487134,No
GALE,-0.094634014,0.355735261,No
DES,1.593714964,0.355924039,No
LOC105372817,0.112346221,0.355927783,No
XIAP,0.081247294,0.355958053,No
EFEMP2,0.104810333,0.35608811,No
EIF2B3,-0.117424631,0.356127726,No
PRKAR2A,-0.09180426,0.356133073,No
C16orf95,0.117124772,0.356148962,No
PPP2R1B,0.116547206,0.356164863,No
EDARADD,0.105988108,0.35631472,No
OSCP1,-0.116221199,0.356335939,No
NKRF,-0.112378449,0.35636709,No
ATP2C1,-0.104255767,0.356386676,No
SAR1A,-0.074447314,0.356414587,No
NME6,0.110708699,0.356422474,No
PPP1R2B,-0.111979434,0.356469814,No
COMMD1,0.07720502,0.356474468,No
ADAMTS17,-0.111516656,0.356485553,No
CCDC74B,0.11565564,0.356492742,No
FAM78B-AS1,0.098998584,0.356556903,No
GLTPD2,-0.106240215,0.356572281,No
GPAM,0.093892418,0.356631428,No
MGAT2,-0.096714298,0.356632715,No
BCL6B,0.065766001,0.356655881,No
NCOR1,-0.091619822,0.356656205,No
AFMID,-0.116764019,0.356743991,No
RGS11,-0.116699234,0.35686788,No
WFIKKN1,0.103612765,0.356879555,No
GUSBP15,0.105210282,0.356903813,No
EDN1,0.091106223,0.356999994,No
CENPJ,-0.116740742,0.35700181,No
ERRFI1,0.107873575,0.357266686,No
PAQR8,0.097347108,0.35732805,No
METTL13,-0.111333395,0.357350223,No
CCDC51,0.104770456,0.357373454,No
PLPBP,0.092993829,0.357400443,No
LSM10,0.116961739,0.357472556,No
SURF1,0.117752276,0.357723305,No
CSK,0.11147259,0.357748217,No
RABGEF1,-0.088927384,0.357751861,No
REEP3,-0.11570812,0.357840486,No
